t,True_State,Observation,MA_Estimate
0,0.0,3.528104691935328,3.528104691935328
1,1.0,1.8003144167344467,2.6642095543348874
2,2.0,3.9574759682114786,3.095298358960418
3,3.0,7.481786398402916,4.191920368821043
4,4.0,7.735115980299935,4.900559491116821
5,5.0,3.045444240247178,4.5913736159718805
6,6.0,7.9001768350511785,5.064059790126066
7,7.0,6.697285583404605,5.268213014285884
8,8.0,7.793562296412884,5.548807378966662
9,9.0,9.821197003876744,5.97604634145767
10,10.0,10.288087142321755,6.652044586496312
11,11.0,13.90854701392595,7.8628678462154635
12,12.0,13.522075450293986,8.819327794423714
13,13.0,13.243350032985656,9.395484157881988
14,14.0,14.887726465490852,10.11074520640108
15,15.0,15.667348654748533,11.372935647851216
16,16.0,18.98815814631521,12.481733778977619
17,17.0,16.589683472468398,13.470973567883998
18,18.0,18.626135403301802,14.55423087857289
19,19.0,17.29180852139655,15.30129203032487
20,20.0,14.894020368331843,15.761885352925878
21,21.0,22.30723719088072,16.601754370621357
22,22.0,23.728872397719012,17.62243406536386
23,23.0,21.515669959187115,18.449666057984
24,24.0,28.539509247975214,19.81484433623244
25,25.0,22.09126865080247,20.457236335837834
26,26.0,26.09151703460289,21.167572224666603
27,27.0,26.625632299948332,22.171167107414597
28,28.0,31.065558428716916,23.41510940995611
29,29.0,31.93871753980057,24.879800311796508
30,30.0,30.30989485139383,26.42138776010271
31,31.0,31.75632503920435,27.366296544935068
32,32.0,30.224428504739773,28.015852155637145
33,33.0,29.038407063552146,28.76812586607365
34,34.0,33.304175701347695,29.244592511410893
35,35.0,35.31269793820796,30.566735440151444
36,36.0,38.46058136145544,31.803641872836703
37,37.0,39.40475969756882,33.081554612598744
38,38.0,37.225346365184095,33.697533406245476
39,39.0,38.39539449884933,34.34320110215034
40,40.0,37.902894069865816,35.10250102399754
41,41.0,38.15996412564205,35.742864932641304
42,42.0,38.587459618749975,36.57916804404233
43,43.0,46.90155079046358,38.36548241673348
44,44.0,42.98069563649669,39.33313441024838
45,45.0,44.123851396777624,40.214249756105346
46,46.0,43.49440927990015,40.71763254794981
47,47.0,48.55498071166382,41.63265464935931
48,48.0,44.7722043048841,42.38734044332931
49,49.0,48.574519439572065,43.405252937401585
50,50.0,48.20906687761265,44.43587021817627
