t,True_State,Noisy_Observation,Estimated_State
0,0.0,3.528104691935328,3.528104691935328
1,1.0,1.8003144167344467,2.6642095543348874
2,2.0,3.9574759682114786,3.095298358960418
3,3.0,7.481786398402916,4.191920368821043
4,4.0,7.735115980299935,4.900559491116821
5,5.0,3.045444240247178,4.804027400779191
6,6.0,7.9001768350511785,6.023999884442537
7,7.0,6.697285583404605,6.571961807481164
8,8.0,7.793562296412884,6.634316987083156
9,9.0,9.821197003876744,7.051533191798518
10,10.0,10.288087142321755,8.500061772213433
11,11.0,13.90854701392595,9.701735807988388
12,12.0,13.522075450293986,11.066693781366263
13,13.0,13.243350032985656,12.156651328680818
14,14.0,14.887726465490852,13.169957221003642
15,15.0,15.667348654748533,14.245809523488996
16,16.0,18.98815814631521,15.261731749966847
17,17.0,16.589683472468398,15.87525335440173
18,18.0,18.626135403301802,16.95181042846496
19,19.0,17.29180852139655,17.432626839646097
20,20.0,14.894020368331843,17.27796118236276
21,21.0,22.30723719088072,17.941776991275862
22,22.0,23.728872397719012,19.369614776325985
23,23.0,21.515669959187115,19.94752168750305
24,24.0,28.539509247975214,22.197061832818783
25,25.0,22.09126865080247,23.63651148931291
26,26.0,26.09151703460289,24.39336745805734
27,27.0,26.625632299948332,24.972719438503205
28,28.0,31.065558428716916,26.882697132409163
29,29.0,31.93871753980057,27.562538790774237
30,30.0,30.30989485139383,29.20626403089251
31,31.0,31.75632503920435,30.3392256318128
32,32.0,30.224428504739773,31.058984872771088
33,33.0,29.038407063552146,30.653554599738136
34,34.0,33.304175701347695,30.926646232047556
35,35.0,35.31269793820796,31.92720684941038
36,36.0,38.46058136145544,33.268058113860604
37,37.0,39.40475969756882,35.10412435242641
38,38.0,37.225346365184095,36.7415122127528
39,39.0,38.39539449884933,37.75975597225313
40,40.0,37.902894069865816,38.2777951985847
41,41.0,38.15996412564205,38.21767175142202
42,42.0,38.587459618749975,38.05421173565825
43,43.0,46.90155079046358,39.98945262071415
44,44.0,42.98069563649669,40.90651284824362
45,45.0,44.123851396777624,42.15070431362599
46,46.0,43.49440927990015,43.217593344477606
47,47.0,48.55498071166382,45.21109756306037
48,48.0,44.7722043048841,44.785228265944475
49,49.0,48.574519439572065,45.903993026559554
50,50.0,48.20906687761265,46.72103612272656
