t,True_State,Noisy_Measurement
0,0.0,3.528104691935328
1,1.0,1.8003144167344467
2,2.0,3.9574759682114786
3,3.0,7.481786398402916
4,4.0,7.735115980299935
5,5.0,3.045444240247178
6,6.0,7.9001768350511785
7,7.0,6.697285583404605
8,8.0,7.793562296412884
9,9.0,9.821197003876744
10,10.0,10.288087142321755
11,11.0,13.90854701392595
12,12.0,13.522075450293986
13,13.0,13.243350032985656
14,14.0,14.887726465490852
15,15.0,15.667348654748533
16,16.0,18.98815814631521
17,17.0,16.589683472468398
18,18.0,18.626135403301802
19,19.0,17.29180852139655
20,20.0,14.894020368331843
21,21.0,22.30723719088072
22,22.0,23.728872397719012
23,23.0,21.515669959187115
24,24.0,28.539509247975214
25,25.0,22.09126865080247
26,26.0,26.09151703460289
27,27.0,26.625632299948332
28,28.0,31.065558428716916
29,29.0,31.93871753980057
30,30.0,30.30989485139383
31,31.0,31.75632503920435
32,32.0,30.224428504739773
33,33.0,29.038407063552146
34,34.0,33.304175701347695
35,35.0,35.31269793820796
36,36.0,38.46058136145544
37,37.0,39.40475969756882
38,38.0,37.225346365184095
39,39.0,38.39539449884933
40,40.0,37.902894069865816
41,41.0,38.15996412564205
42,42.0,38.587459618749975
43,43.0,46.90155079046358
44,44.0,42.98069563649669
45,45.0,44.123851396777624
46,46.0,43.49440927990015
47,47.0,48.55498071166382
48,48.0,44.7722043048841
49,49.0,48.574519439572065
50,50.0,48.20906687761265
